,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Annee,Mois,Prix metre carre,Pays,Latitude,Longitude
109,2020-01-17,Vente,114000.0,39.0,AV,8030,ST POL,51100,REIMS,51,454,DM,629,2,2.0,Appartement,53.0,2.0,2020,1,2150.943396226415,France,49.2415001,4.0422617
110,2020-01-24,Vente,147000.0,11.0,RUE,5230,LABORI,51100,REIMS,51,454,CK,229,2,2.0,Appartement,77.0,4.0,2020,1,1909.090909090909,France,49.2539699,4.0440472
111,2020-01-15,Vente,460000.0,45.0,RUE,8620,THIERS,51100,REIMS,51,454,IL,378,6,2.0,Appartement,143.0,5.0,2020,1,3216.7832167832166,France,49.2581068,4.0278924
112,2020-01-16,Vente,242000.0,16.0,RUE,8790,DE TRIANON,51100,REIMS,51,454,AT,147,1,2.0,Appartement,64.0,3.0,2020,1,3781.25,France,49.25734079999999,4.0211628
113,2020-01-16,Vente,242000.0,16.0,RUE,8790,DE TRIANON,51100,REIMS,51,454,AT,147,1,2.0,Appartement,42.0,2.0,2020,1,5761.9047619047615,France,49.25734079999999,4.0211628
114,2020-01-29,Vente,195000.0,3.0,RUE,7060,PIPER,51100,REIMS,51,454,CW,12,1,2.0,Appartement,66.0,3.0,2020,1,2954.5454545454545,France,49.25538530000001,4.041610599999999
115,2020-01-06,Vente,422000.0,66.0,BD,4760,JAMIN,51100,REIMS,51,454,BI,309,0,1.0,Maison,81.0,4.0,2020,1,5209.876543209876,France,49.2635338,4.044792
116,2020-01-17,Vente,140000.0,4.0,RUE,7530,RIVART PROPHETIE,51100,REIMS,51,454,AX,520,0,1.0,Maison,71.0,3.0,2020,1,1971.8309859154929,France,49.2700374,4.0242501
117,2020-01-06,Vente,779000.0,14.0,RUE,410,DE L ARQUEBUSE,51100,REIMS,51,454,IM,325,0,1.0,Maison,222.0,10.0,2020,1,3509.009009009009,France,49.2535178,4.022799
118,2020-01-29,Vente,196060.0,61.0,RUE,1920,DE CHEVIGNE,51100,REIMS,51,454,CL,33,2,2.0,Appartement,95.0,5.0,2020,1,2063.7894736842104,France,49.2521446,4.0478741
119,2020-01-30,Vente,78500.0,6.0,RUE,6270,MONTOISON,51100,REIMS,51,454,CX,163,2,2.0,Appartement,24.0,1.0,2020,1,3270.8333333333335,France,49.2551755,4.0388563
120,2020-01-17,Vente,134800.0,29.0,RUE,3770,FRANCOIS DOR,51100,REIMS,51,454,HW,390,1,2.0,Appartement,44.0,2.0,2020,1,3063.6363636363635,France,49.2465201,4.0099469
121,2020-01-29,Vente,61000.0,22.0,RUE,9090,VICTOR ROGELET,51100,REIMS,51,454,AW,194,1,2.0,Appartement,26.0,1.0,2020,1,2346.153846153846,France,49.2665977,4.0294591
